Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0264061124286918,-0.0486777712932293,0.0801071090656331,0,0,0,0.00774047849628879,1.86468970015682E-06,-1.44949741837662E-12,-9.47494672810329E-10,1.78377809630282E-06,3.75234645076478E-12,3.64056199351018E-06,0,0,0,0,0,0,package://iota-n/meshes/base_link.STL,1,1,1,0.32,0,0,0,0,0,0,package://iota-n/meshes/base_link.STL,,BasePlate_Revision2-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
db_r_motor,-1.73472347597681E-18,0,0.0106870527000651,0,0,0,0.000645828982770904,2.61519018844216E-08,0,2.23313790761107E-24,2.61519018844215E-08,3.75637695984187E-25,2.86716606772477E-09,0,0,0,0,0,0,package://iota-n/meshes/db_r_motor.STL,1,1,1,0.32,0,0,0,0,0,0,package://iota-n/meshes/db_r_motor.STL,,Motor_CAT Track-11,Origin_db_r_motor,Axis_db_r_motor,db_r_motor,fixed,0.00169289678711508,-0.0487304240846036,0.0758985670725845,-1.5707963267949,-0.106028806705873,0,base_link,0,0,0,,,,,,,,,,,,
db_r_wheel,2.16840434497101E-18,1.38777878078145E-17,-0.0025,0,0,0,0.000576666035103962,6.63502328890034E-09,-1.83332255573136E-43,-1.56733493149371E-25,6.63502328890034E-09,-1.83625666777319E-41,1.08672714315342E-08,0,0,0,0,0,0,package://iota-n/meshes/db_r_wheel.STL,1,1,1,0.32,0,0,0,0,0,0,package://iota-n/meshes/db_r_wheel.STL,,Wheel-4,Origin_db_r_wheel,Axis_db_r_wheel,db_r_wheel,continuous,0,0,0.021,3.14159265358979,0,0.106028806705873,db_r_motor,0,0,1,,,,,,,,,,,,
db_l_motor,-2.16840434497101E-19,1.38777878078145E-17,0.0106870527000651,0,0,0,0.000645828982770904,2.61519018844216E-08,-1.08495879687383E-45,2.55724289671858E-26,2.61519018844216E-08,-4.35365143856206E-41,2.86716606772477E-09,0,0,0,0,0,0,package://iota-n/meshes/db_l_motor.STL,1,1,1,0.32,0,0,0,0,0,0,package://iota-n/meshes/db_l_motor.STL,,Motor_CAT Track-12,Origin_db_l_motor,Axis_db_l_motor,db_l_motor,fixed,0.00169289678711508,-0.0487304240846036,0.0758985670725845,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
db_l_wheel,2.16840434497101E-18,0,0.00250000000000002,0,0,0,0.000576666035103963,6.63502328890035E-09,-1.8333225557315E-43,-1.57353104445706E-41,6.63502328890035E-09,-1.83625666777319E-41,1.08672714315342E-08,0,0,0,0,0,0,package://iota-n/meshes/db_l_wheel.STL,1,1,1,0.32,0,0,0,0,0,0,package://iota-n/meshes/db_l_wheel.STL,,Wheel-5,Origin_db_l_wheel,Axis_db_l_wheel,db_l_wheel,continuous,0,0,0.021,0,0,0,db_l_motor,0,0,1,,,,,,,,,,,,
df_l_motor,0,0,0.0106870527000651,0,0,0,0.000645828982770904,2.61519018844216E-08,0,-2.3101592692504E-25,2.61519018844216E-08,1.02087118310116E-25,2.86716606772477E-09,0,0,0,0,0,0,package://iota-n/meshes/df_l_motor.STL,1,1,1,0.32,0,0,0,0,0,0,package://iota-n/meshes/df_l_motor.STL,,Motor_CAT Track-8,Origin_df_l_motor,Axis_df_l_motor,df_l_motor,fixed,0.0535884018392908,-0.0488891935290498,0.0758985670725845,1.5707963267949,0.772628626281801,0,base_link,0,0,0,,,,,,,,,,,,
df_l_wheel,0,-1.38777878078145E-17,0.00250000000000002,0,0,0,0.000576666035103963,6.63502328890035E-09,-2.06795153138257E-25,1.11678809897254E-25,6.63502328890035E-09,3.17667899518987E-27,1.08672714315342E-08,0,0,0,0,0,0,package://iota-n/meshes/df_l_wheel.STL,1,1,1,0.32,0,0,0,0,0,0,package://iota-n/meshes/df_l_wheel.STL,,Wheel-7,Origin_df_l_wheel,Axis_df_l_wheel,df_l_wheel,continuous,0,0,0.021,0,0,0.88390039009553,df_l_motor,0,0,1,,,,,,,,,,,,
df_r_motor,1.38777878078145E-17,1.38777878078145E-17,0.0106870527000651,0,0,0,0.000645828982770904,2.61519018844216E-08,0,1.18872773987884E-23,2.61519018844216E-08,-9.13946751688871E-25,2.86716606772477E-09,0,0,0,0,0,0,package://iota-n/meshes/df_r_motor.STL,1,1,1,0.32,0,0,0,0,0,0,package://iota-n/meshes/df_r_motor.STL,,Motor_CAT Track-10,Origin_df_r_motor,Axis_df_r_motor,df_r_motor,fixed,0.0535884018392908,-0.0488891935290498,0.0758985670725845,-1.5707963267949,-1.46819705601191,0,base_link,0,0,0,,,,,,,,,,,,
df_r_wheel,-1.38777878078145E-17,0,-0.0025,0,0,0,0.000576666035103962,6.63502328890034E-09,-1.83332255573165E-43,1.5673349314937E-25,6.63502328890034E-09,-1.83625666777319E-41,1.08672714315342E-08,0,0,0,0,0,0,package://iota-n/meshes/df_r_wheel.STL,1,1,1,0.32,0,0,0,0,0,0,package://iota-n/meshes/df_r_wheel.STL,,Wheel-6,Origin_df_r_wheel,Axis_df_r_wheel,df_r_wheel,continuous,0,0,0.021,3.14159265358979,0,1.46819705601191,df_r_motor,0,0,1,,,,,,,,,,,,
l_panel,0.036453781512605,0.0225,0.001,0,0,0,0.00563834139292079,9.18566945337334E-07,-2.20216452907176E-07,-1.13531492879934E-24,1.67797643505038E-06,1.86901867840681E-24,2.59278448612577E-06,0,0,0,0,0,0,package://iota-n/meshes/l_panel.STL,1,1,1,0.32,0,0,0,0,0,0,package://iota-n/meshes/l_panel.STL,,Side Plate-2,Origin_l_panel,Axis_l_panel,l_panel,fixed,-0.015594256799817,-0.0766777315109957,0.0338985670725845,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
lower_bracket,0,0,0.0279,0,0,0,0.000238824,6.204727128E-08,0,1.74900285238205E-24,6.204727128E-08,-1.36255432729087E-25,1.59216000000001E-10,0,0,0,0,0,0,package://iota-n/meshes/lower_bracket.STL,1,1,1,0.32,0,0,0,0,0,0,package://iota-n/meshes/lower_bracket.STL,,Servo Pin-1,Origin_lower_bracket,Axis_lower_bracket,lower_bracket,fixed,0.045176397046141,0.0355758226897028,-0.056,0,0,-0.279104698918359,l_panel,0,0,0,,,,,,,,,,,,
