Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0157046714219995,-0.0486777315109957,0.0326730100469145,0,0,0,0.00602026598183142,1.29548409457843E-06,1.82692972019999E-13,2.35543979474496E-23,9.46213258006389E-07,-6.69716828985188E-23,2.2354681429883E-06,0,0,0,0,0,0,package://iota/meshes/base_link.STL,1,1,1,0.32,0,0,0,0,0,0,package://iota/meshes/base_link.STL,,BasePlate_Revision2-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
dbr_motor,0.0180465410708374,0.0055,-0.0104996579668553,0,0,0,0.000645828982770904,2.61519018844216E-08,-3.7038731854198E-26,-3.37174308525786E-25,2.61519018844216E-08,-5.17287894601584E-25,2.86716606772477E-09,0,0,0,0,0,0,package://iota/meshes/dbr_motor.STL,1,1,1,0.32,0,0,0,0,0,0,package://iota/meshes/dbr_motor.STL,,Motor_CAT Track-6,Origin_dbr_motor,Axis_dbr_motor,dbr_motor,fixed,0.0157046714219995,-0.0486777315109957,0.0313985670725845,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
dbr_wheel,0,0,0.0025,0,0,0,0.000681713039458371,8.90885323732181E-09,-6.20385459414771E-25,-4.15182492378448E-25,8.90885323732181E-09,-2.94650062225219E-26,1.49772354769004E-08,0,0,0,0,0,0,package://iota/meshes/dbr_wheel.STL,1,1,1,0.32,0,0,0,0,0,0,package://iota/meshes/dbr_wheel.STL,,Wheel-9,Origin_dbr_wheel,Axis_dbr_wheel,dbr_wheel,continuous,0.0180465410708374,0.0055,-0.0258126052667903,0,0,-0.151232003284142,dbr_motor,0,0,1,,,,,,,,,,,,
dbl_motor,0,0,0.0106870527000651,0,0,0,0.000645828982770904,2.61519018844216E-08,0,-6.18543725057378E-25,2.61519018844216E-08,-8.993865166459E-26,2.86716606772477E-09,0,0,0,0,0,0,package://iota/meshes/dbl_motor.STL,1,1,1,0.32,0,0,0,0,0,0,package://iota/meshes/dbl_motor.STL,,Motor_CAT Track-5,Origin_dbl_motor,Axis_dbl_motor,dbl_motor,fixed,0.0337512124928369,-0.0488651262442055,0.0368985670725845,1.5707963267949,-0.344784457208072,0,base_link,0,0,0,,,,,,,,,,,,
dbl_wheel,0,0,0.0025,0,0,0,0.000681713039458372,8.90885323732183E-09,-2.06795153138257E-25,5.81366113987744E-25,8.90885323732183E-09,1.67751780996211E-28,1.49772354769004E-08,0,0,0,0,0,0,package://iota/meshes/dbl_wheel.STL,1,1,1,0.32,0,0,0,0,0,0,package://iota/meshes/dbl_wheel.STL,,Wheel-8,Origin_dbl_wheel,Axis_dbl_wheel,dbl_wheel,continuous,0,0,0.021,0,0,-0.528472588992204,dbl_motor,0,0,1,,,,,,,,,,,,
dfr_motor,0,-3.46944695195361E-18,0.0106870527000651,0,0,0,0.000645828982770904,2.61519018844216E-08,0,-2.37221797541323E-24,2.61519018844216E-08,1.94736245006016E-24,2.86716606772477E-09,0,0,0,0,0,0,package://iota/meshes/dfr_motor.STL,1,1,1,0.32,0,0,0,0,0,0,package://iota/meshes/dfr_motor.STL,,Motor_CAT Track-4,Origin_dfr_motor,Axis_dfr_motor,dfr_motor,fixed,-0.00164838652382185,-0.0491355291275451,0.0368985670725845,1.5707963267949,-0.890920085389358,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
dfr_wheel,1.73472347597681E-18,-6.93889390390723E-18,-0.0025,0,0,0,0.000681713039458371,8.90885323732182E-09,-5.16987882845642E-25,6.61424870729911E-25,8.90885323732182E-09,1.75987313302614E-25,1.49772354769004E-08,0,0,0,0,0,0,package://iota/meshes/dfr_wheel.STL,1,1,1,0.32,0,0,0,0,0,0,package://iota/meshes/dfr_wheel.STL,,Wheel-3,Origin_dfr_wheel,Axis_dfr_wheel,dfr_wheel,continuous,0,0,0.021,3.14159265358979,0,2.42846104804575,dfr_motor,0,0,1,,,,,,,,,,,,
dfl_motor,6.7762635780344E-18,-7.63278329429795E-17,0.0106870527000651,0,0,0,0.000645828982770904,2.61519018844216E-08,5.93486893921018E-39,-3.17179904389924E-23,2.61519018844216E-08,-3.23352476560176E-23,2.86716606772477E-09,0,0,0,0,0,0,package://iota/meshes/dfl_motor.STL,1,1,1,0.32,0,0,0,0,0,0,package://iota/meshes/dfl_motor.STL,,Motor_CAT Track-3,Origin_dfl_motor,Axis_dfl_motor,dfl_motor,fixed,-0.00164838652382185,-0.0491355291275451,0.0368985670725845,1.5707963267949,-0.0567673670058903,0,base_link,0,0,0,,,,,,,,,,,,
dfl_wheel,2.82543086149722E-16,0,0.0025,0,0,0,0.000681713039458372,8.90885323732182E-09,-1.83332255573151E-43,-7.87233226798591E-41,8.90885323732182E-09,-2.31915303300036E-41,1.49772354769004E-08,0,0,0,0,0,0,package://iota/meshes/dfl_wheel.STL,1,1,1,0.32,0,0,0,0,0,0,package://iota/meshes/dfl_wheel.STL,,Wheel-2,Origin_dfl_wheel,Axis_dfl_wheel,dfl_wheel,continuous,0,0,0.021,0,0,-0.0567673670058903,dfl_motor,0,0,1,,,,,,,,,,,,
r_plate,0.036453781512605,0.0225,0.001,0,0,0,0.00563834139292078,9.18566945337333E-07,-2.20216452907176E-07,3.9955266293099E-24,1.67797643505038E-06,1.30040278787411E-24,2.59278448612577E-06,0,0,0,0,0,0,package://iota/meshes/r_plate.STL,1,1,1,0.32,0,0,0,0,0,0,package://iota/meshes/r_plate.STL,,Side Plate-1,Origin_r_plate,Axis_r_plate,r_plate,fixed,-0.0156361653843612,-0.0186777315109957,0.0338985670725845,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
